gene,mean_pdac_val,mean_normal_val,log2fc_val,p_value_val,auc_val,fdr_val
SGMS2,6.007342898550725,5.67269868852459,0.3346442100261351,0.0003011019983629864,0.6851983844143502,0.001152275353597631
SGO1,2.903452898550725,2.6223259016393445,0.28112699691138054,5.847528290395096e-05,0.7115704442860538,0.00030389220159203196
SGO2,3.3488802898550722,3.2849527868852464,0.06392750296982586,0.14843580546277715,0.5652173913043478,0.2046991669542869
SGPL1,7.002911014492753,6.612389180327868,0.3905218341648853,6.217090956292008e-07,0.7426942266571632,7.230259906901689e-06
SGPP1,5.676033768115942,5.774564098360655,-0.09853033024471358,0.05192589468531003,0.4005702066999287,0.08355511796237282
SGPP2,5.942022318840579,5.074608852459017,0.8674134663815627,2.7018559958865222e-11,0.8168210976478972,1.9869568193278713e-09
SGSH,4.693996956521739,4.818812786885245,-0.12481583036350585,0.003708784542840501,0.35685435970539325,0.009153916953821837
SGSM1,3.9821705797101448,4.330470491803279,-0.34829991209313427,1.4013849888696702e-09,0.20028510334996438,5.032657797551169e-08
SGSM2,5.01246072463768,5.115109016393444,-0.10264829175576384,0.009414726308850934,0.38180090282727486,0.019854799194090167
SGSM3,4.667707826086956,4.819314098360656,-0.15160627227369972,0.0010280685000849106,0.35091470658113566,0.003175487061025087
SGTA,5.335817536231884,5.37966655737705,-0.04384902114516542,0.272848647581746,0.4428605369446425,0.34349496491772075
SGTB,4.7629694202898545,4.456123770491804,0.30684564979805007,0.00017333301391219896,0.6806842480399146,0.0007361316936912348
SH2B1,4.346503623188406,4.449742622950819,-0.10323899976241258,0.0029619998277557917,0.3589926348301259,0.007612602152717345
SH2B2,4.254149130434782,4.296039672131148,-0.041890541696365524,0.26476628118783485,0.44499881206937514,0.3348160274750449
SH2B3,5.030568405797102,5.192296885245901,-0.16172847944879898,0.0015791386058710852,0.34925160370634356,0.004541045073783685
SH2D1A,3.697365652173913,3.4974495081967216,0.19991614397719148,0.08588217064068993,0.6120218579234973,0.12801051112710288
SH2D1B,2.3291073913043485,2.3219644262295085,0.007142965074840024,0.8239601912781737,0.5355191256830601,0.8585100378235914
SH2D2A,4.395133188405797,4.4251901639344275,-0.030056975528630403,0.5262250026319513,0.47873604181515805,0.5961800803163139
SH2D3A,4.850715072463768,4.792481311475411,0.0582337609883572,0.27980110053763463,0.5635542884295557,0.3509444077034303
SH2D3C,4.689122318840579,4.827405901639343,-0.1382835827987643,0.004564061157714128,0.3665953908291755,0.01084520258229457
SH2D4A,5.70406463768116,5.389519836065574,0.31454480161558607,0.0005313274685121057,0.6564504632929438,0.0018403711433156106
SH2D4B,3.655153043478261,3.8117198360655737,-0.15656679258731288,0.0003439020734276504,0.30957472083630316,0.0012862889257242503
SH2D5,3.665324927536232,3.7416270491803276,-0.07630212164409578,0.04837365982178361,0.3915419339510572,0.0786678543212122
SH2D6,4.102944782608695,4.20636131147541,-0.10341652886671504,0.010203029858864992,0.3718222855785222,0.021246221764197007
SH2D7,2.824759565217392,2.9629729508196725,-0.1382133856022807,0.0031512290663950693,0.345687811831789,0.008012461550158964
SH3BGR,3.252332898550725,3.472592950819672,-0.22026005226894707,0.00012040045108132782,0.29009265858873845,0.0005476406954281312
SH3BGRL,6.468215217391304,6.332653934426229,0.13556128296507453,0.01394125831580278,0.6310287479211213,0.027553304030333268
SH3BGRL2,6.886917391304348,6.987384918032785,-0.10046752672843695,0.2385317753940824,0.43406985032074125,0.3070762712838094
SH3BGRL3,6.2281527536231875,5.999512131147541,0.22864062247564654,0.0001118666195982804,0.6973152767878357,0.0005160673412879158
SH3BP1,4.26690536231884,4.221447540983607,0.04545782133523346,0.29152480964041816,0.5511998099311001,0.3635058895443952
SH3BP2,5.36822652173913,5.129075245901639,0.23915127583749118,1.9667590848596943e-05,0.7006414825374199,0.00012336494817951854
SH3BP4,5.388231014492755,5.582191475409837,-0.19396046091708197,0.01556688341253437,0.348063673081492,0.03026684602282909
SH3BP5,5.090310144927536,4.950721639344262,0.13958850558327462,0.16026474678555155,0.6105963411736753,0.21842172991424597
SH3BP5L,4.369290579710146,4.379830000000001,-0.010539420289854995,0.8021060421973564,0.5003563791874555,0.8402035589690888
SH3D19,6.199008985507247,6.045190491803278,0.1538184937039695,0.2518206857624171,0.586600142551675,0.3214120199914261
SH3D21,4.2741115942029,4.010318360655738,0.2637932335471618,2.345624256373057e-05,0.7156094084105489,0.00014278612903295877
SH3GL1,6.179637971014492,6.059966229508196,0.11967174150629667,0.03602734963259218,0.5918270373010217,0.061405510795905026
SH3GL2,4.4981268115942035,4.851455081967212,-0.35332827037300873,2.5611357425718877e-05,0.2613447374673319,0.00015343817750559794
SH3GL3,3.2453278260869567,3.4101752459016392,-0.16484741981468254,1.7179405952008788e-06,0.24352577809455933,1.673026568929074e-05
SH3GLB1,7.1117739130434785,6.9716680327868845,0.14010588025659398,0.03238915664191896,0.6065573770491803,0.05612268713689405
SH3GLB2,5.415274057971016,5.457028360655736,-0.041754302684720024,0.4008150026584826,0.4502257068187218,0.4764382278451169
SH3KBP1,8.619027028985506,8.360934262295082,0.25809276669042447,1.1883177544053731e-05,0.7195295794725588,8.17116536313877e-05
SH3PXD2A,5.159414927536233,4.78902,0.3703949275362328,1.807633513294788e-07,0.7507721549061535,2.64853158929622e-06
SH3PXD2B,6.14877927536232,5.534766557377051,0.6140127179852692,9.230518700032598e-09,0.772392492278451,2.321231060385029e-07
SH3RF1,5.614741449275361,5.459569016393442,0.15517243288191906,0.03212988595311725,0.5961035875504871,0.05574586770059886
SH3RF2,5.371277971014493,4.920852295081966,0.4504256759325269,1.8745459607969807e-05,0.7082442385364695,0.00011861114572103186
SH3RF3,5.178829130434782,5.213360327868852,-0.034531197434069405,0.48626047146186013,0.4490377761938703,0.55922889729498
SH3TC1,4.854181159420291,4.737374918032787,0.11680624138750417,0.008564556100234934,0.6329294369208839,0.01837177647967822
SH3TC2,3.7045371014492754,3.5573213114754103,0.14721578997386509,0.005303400048640364,0.6680921834164883,0.012295307275492953
SH3YL1,5.825660144927537,6.056796065573771,-0.231135920646234,0.019431435596297255,0.36469470182941316,0.036397322430258824
SHANK1,3.7197407246376817,3.788647868852459,-0.06890714421477728,0.08762708904702315,0.43003088619624613,0.13019421096394596
SHANK2,4.705129130434782,4.926346065573771,-0.22121693513898855,0.031076809964774278,0.36184366832976955,0.0541913895672025
SHANK2-AS3,4.899407826086957,4.9971185245901655,-0.09771069850320835,0.02966560609607,0.39106676170111665,0.05213962909583413
SHANK3,4.836500144927536,5.023949836065574,-0.18744969113803833,0.005419007390944765,0.37609883582798764,0.012508239653942781
SHARPIN,6.022635362318841,6.073154098360655,-0.05051873604181445,0.24601554497742095,0.44880019006890004,0.31518919785969074
SHB,6.024031449275361,6.019981475409835,0.004049973865526191,0.9458631695969353,0.4960798289379901,0.9581253345544891
SHBG,3.5664726086956517,3.62728868852459,-0.06081607982893811,0.15317408064758423,0.4150629603231171,0.21026508615908637
SHC1,6.482845507246377,6.310641475409835,0.1722040318365412,0.0018273167409569512,0.6721311475409836,0.005115719631821119
SHC2,4.783603333333334,5.14672786885246,-0.36312453551912593,4.960228953090658e-07,0.2554050843430744,6.061054352392941e-06
SHC3,4.254263188405797,4.562148852459017,-0.30788566405322015,0.0027986596923202235,0.33570919458303633,0.0072590235769555795
SHC4,3.0087860869565217,2.883653606557377,0.1251324803991447,0.05177339403411579,0.5861249703017344,0.0833365414713461
SHCBP1,4.595275797101449,3.8585003278688523,0.7367754692325965,1.3720712441286163e-08,0.7890235210263721,3.1876354351108837e-07
SHCBP1L,2.8356465217391307,2.9991752459016388,-0.16352872416250808,9.518364981114943e-07,0.250415775718698,1.0263927478018448e-05
SHD,3.8736185507246375,4.116859180327869,-0.24324062960323145,0.00011430910770645185,0.31955333808505587,0.00052535560365551
SHE,4.786693188405798,4.889995573770492,-0.10330238536469416,0.10668844270760149,0.44975053456878117,0.15418603565350425
SHF,4.027075652173913,3.964970327868853,0.062105324305059995,0.17321314438137347,0.5572582561178427,0.23342872243216423
SHFM1,6.0182120289855074,5.76344344262295,0.25476858636255706,7.3699158742993145e-06,0.7488714659063911,5.5630349899475165e-05
