gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
ABC12-47964100C23.1,-8.715011235955055,-7.5477598802395205,-1.1672513557155346,0.001963410921489536,0.40358608625445735,0.0,0.004348363963244433
ABC12-49244600F4.4,-4.221830898876405,-3.2561353293413173,-0.9656955695350877,0.037739782250065315,0.43529233667496464,0.0,0.07550663196690834
ABC14-1080714F14.1,-7.00285617977528,-9.826026946107783,2.8231707663325025,5.739631120279661e-09,0.6813900289309023,0.0,1.601721277901595e-08
ABC7-42391500H16.3,-9.9658,-9.965799999999998,-1.7763568394002505e-15,1.0,0.5,0.0,1.0
ABC7-42404400C24.1,-2.970891573033708,0.34471556886227545,-3.3156071418959834,1.4585509188955408e-46,0.05375765323286011,0.011976047904191617,1.2589269394403959e-45
ABC7-42418200C9.1,-9.92693033707865,-9.905532335329339,-0.02139800174931139,0.9887965061844253,0.499562672407993,0.0,1.0
ABC7-481722F1.1,-8.83643988764045,-9.925930538922152,1.089490651281702,0.009178757729014402,0.5811410886092983,0.0,0.019398275786406172
ABCA1,1.9066101123595505,0.4309868263473054,1.4756232860122451,1.338110922138641e-28,0.8455224382695284,0.46706586826347307,5.780816808982576e-28
ABCA10,0.5678500000000001,1.7843952095808384,-1.2165452095808384,2.2207073262465035e-25,0.17577205140281238,0.0,8.939750953741508e-25
ABCA11P,1.0903780898876403,0.62827125748503,0.4621068324026103,4.3875676951522327e-07,0.6573201910785171,0.16766467065868262,1.1500653414010154e-06
ABCA12,-2.0602179775280898,-8.597035329341315,6.536817351813225,7.289568590289968e-49,0.957562403283321,0.9700598802395209,7.796790534741221e-48
ABCA13,-1.8918005617977527,-4.250492215568863,2.35869165377111,8.693438891170668e-21,0.7912265356926597,0.38922155688622756,3.19051712619765e-20
ABCA17P,-1.8763129213483145,-1.864830538922156,-0.01148238242615851,0.10288451647677099,0.4492027181591873,0.07784431137724551,0.19517107152377586
ABCA2,4.798232584269664,3.3904269461077843,1.40780563816188,2.131144433480411e-38,0.9035524456704569,0.7005988023952096,1.2112600374281162e-37
ABCA3,2.289226404494382,2.355237125748503,-0.06601072125412077,0.012822295484297044,0.4224920944627599,0.041916167664670656,0.026778712718916405
ABCA4,-2.7829707865168536,-5.3400017964071855,2.557031009890332,2.6113721894482145e-28,0.8436553858574986,0.5329341317365269,1.120462859665025e-27
ABCA5,2.896472471910112,4.422901796407186,-1.526429324497074,3.851469949462058e-44,0.06598600551705576,0.011976047904191617,2.809750449681654e-43
ABCA6,1.4339185393258427,0.784719760479042,0.6491987788468007,2.101541503045646e-07,0.6616430061225863,0.11377245508982035,5.571867064490472e-07
ABCA7,3.822037078651685,2.8559257485029943,0.9661113301486908,2.4539002212849384e-17,0.7637926394402207,0.31736526946107785,8.380082130295732e-17
ABCA8,1.2792044943820224,0.9068580838323351,0.3723464105496873,0.03384143487466539,0.5660869272690574,0.05389221556886228,0.06798577148123365
ABCA9,0.07109157303370785,0.4720365269461078,-0.4009449539124,0.0010728308986661945,0.39813631164637014,0.011976047904191617,0.0024106289315624385
ABCA9-AS1,-7.321702247191011,-7.986064071856288,0.6643618246652769,0.09622598756351737,0.5518064993608288,0.0,0.18317458170723375
ABCB1,2.620456179775281,0.04129161676646706,2.579164563008814,2.845212884062778e-44,0.934686806162955,0.8502994011976048,2.0936492395588692e-43
ABCB10,2.6347561797752808,1.1548868263473056,1.4798693534279752,1.0437525766871442e-46,0.9469656193231513,0.8922155688622755,9.128705538206866e-46
ABCB10P1,-9.21751404494382,-9.668777844311375,0.45126379936755434,0.13158259879289794,0.5469622552647515,0.0,0.24564964530057537
ABCB10P3,-8.407830898876403,-9.540779041916165,1.132948143039762,1.4889009974649693e-05,0.6348651012581578,0.0,3.672012349282001e-05
ABCB10P4,-8.454461235955057,-9.781303592814368,1.326842356859311,4.430331820092888e-06,0.6429556617102874,0.0,1.1165122321052332e-05
ABCB11,-4.40336011235955,-8.078114371257485,3.6747542588979343,1.8547707983369314e-36,0.8927369979142838,0.5329341317365269,9.86690230088774e-36
ABCB4,0.31027921348314613,-4.31484491017964,4.625124123662786,4.4116144436928315e-55,0.9868465316557895,0.9880239520958084,2.9005250923228932e-53
ABCB5,-3.4116797752808994,-7.390989221556886,3.9793094462759866,1.2530911310023186e-34,0.8822579559981161,0.6526946107784432,6.317326294771672e-34
ABCB6,3.9577016853932587,2.2762239520958087,1.68147773329745,9.730863939556051e-47,0.9471170019511539,0.9341317365269461,8.532311636628246e-46
ABCB7,3.202361235955056,1.9166101796407184,1.2857510563143377,8.72509988458188e-47,0.9473524860391577,0.8982035928143712,7.684935744078952e-46
ABCB8,4.166472471910112,2.694551497005988,1.4719209749041235,4.389157631826059e-47,0.9488326717351814,0.9341317365269461,3.965472597624959e-46
ABCB9,2.189153370786517,0.2580083832335329,1.9311449875529842,3.5818240162270454e-49,0.9590594092713449,0.9461077844311377,3.978514082188027e-48
ABCC1,3.7663196629213482,1.8780736526946105,1.8882460102267378,1.5693371769570774e-49,0.9607918993473726,0.9341317365269461,1.8072211748245047e-48
ABCC10,3.7642224719101125,2.91441377245509,0.8498086994550227,7.439172702344153e-28,0.8407118347574515,0.5029940119760479,3.15404339636696e-27
