gene,mean_pdac,mean_normal,log2fc,p_value,auc,specificity_score,fdr
PKM,9.495907303370785,5.4689604790419155,4.02694682432887,7.55451088460459e-71,0.9953239588239252,1.0,3.360294625140634e-69
CRIP1,8.811973595505616,2.3746586826347302,6.437314912870886,1.4738361363803467e-123,0.9952903182399246,0.9940119760479041,3.753860639360743e-120
UQCR10,6.7399196629213485,4.559549101796406,2.180370561124943,3.508274951923554e-38,0.9952903182399246,0.9940119760479041,3.347202849489148e-37
MRPL17,5.910841573033707,3.6298838323353286,2.2809577406983785,1.2947159093495082e-43,0.9952398573639238,1.0,1.585404529381345e-42
RGS10,5.307019101123595,0.9337598802395208,4.373259220884075,1.9830214177253033e-91,0.995189396487923,1.0,2.9484106008062434e-89
CCDC96,0.8663955056179775,-1.7923724550898201,2.658767960707798,7.975576775991524e-76,0.9951725761959228,0.9940119760479041,4.5760750549888296e-74
MAD2L1,2.873996629213483,-1.2823526946107784,4.156349323824261,5.453427824536681e-106,0.9951389356119222,1.0,2.3490239366851716e-103
BLOC1S1,7.444643820224719,5.1516353293413175,2.293008490883402,6.215378665794257e-39,0.995122115319922,1.0,6.153508494522449e-38
PSMB6,6.868589325842698,4.879929341317365,1.9886599845253325,3.5228405281326755e-33,0.9951052950279218,1.0,2.6791058156372876e-32
MND1,1.404650561797753,-4.134247305389222,5.538897867186975,1.6742364289226496e-61,0.9950548341519209,0.9880239520958084,4.7289510242390424e-60
PSMB3,7.574865168539326,4.799289820359281,2.7755753481800447,1.4098201929976954e-49,0.9950548341519208,1.0,2.2525534849381816e-48
DHRS7B,4.638283707865168,2.903925149700599,1.7343585581645686,1.144239401992811e-32,0.9949875529839197,0.9940119760479041,8.518323599967067e-32
HPSE,1.6631685393258426,-2.6622437125748504,4.325412251900693,3.2923535595070936e-97,0.9949875529839197,1.0,7.361426101888742e-95
CKLF,6.510532022471909,2.617050299401198,3.8934817230707113,9.836213798500328e-81,0.9949875529839197,1.0,7.330982703943354e-79
POC1A,2.0418601123595503,-1.7325281437125746,3.774388256072125,3.1067138203553217e-102,0.9949539123999191,1.0,9.945049306570225e-100
GBA,5.666763483146068,3.3706311377245517,2.296132345421516,1.7909631484263307e-44,0.9949202718159188,0.9940119760479041,2.2937562789235435e-43
MAN2B1,6.259090449438203,3.9098077844311376,2.349282665007065,3.535226783099573e-44,0.9949202718159187,1.0,4.467150996133652e-43
SH3KBP1,4.639697752808988,0.32346526946107784,4.31623248334791,3.054059002173482e-104,0.9949034515239185,1.0,1.1617521454956152e-101
LINC01420,5.1938983146067415,2.225174251497006,2.9687240631097356,7.646299759288269e-64,0.9948698109399179,0.9880239520958084,2.394056045958664e-62
NAGA,4.569251123595506,1.6480251497005987,2.921225973894907,5.982363330103418e-66,0.9948361703559174,1.0,2.0687888207838743e-64
SMYD3,4.357364606741573,1.2662526946107784,3.0911119121307946,4.879184887687664e-74,0.9947857094799165,1.0,2.520524955076112e-72
CTSB,9.252482584269663,5.672558083832335,3.5799245004373272,3.9515633233198426e-61,0.9947520688959162,1.0,1.0996984847667445e-59
PIGU,4.355959550561798,1.9631299401197604,2.392829610442038,4.796844162887494e-52,0.9947352486039158,0.9940119760479041,8.654263255500842e-51
SNRPD1,6.29829382022472,3.287197604790419,3.0110962154343013,4.334052388785741e-60,0.9946847877279149,1.0,1.149357731948653e-58
CKS2,5.190383146067416,0.37222934131736524,4.81815380475005,2.99983728696318e-107,0.9946511471439143,1.0,1.428727382988537e-104
CCDC51,3.4071129213483147,0.7989592814371257,2.608153639911189,5.765861005117087e-63,0.9946343268519141,1.0,1.748291426194431e-61
TP53TG1,5.048595505617977,2.210853892215569,2.8377416134024083,3.229171351711493e-60,0.9946006862679135,0.9880239520958084,8.614211609954963e-59
NPC2,8.129624157303372,5.3632413173652695,2.7663828399381023,2.800266380659411e-47,0.9945838659759134,0.9880239520958084,4.046433271963714e-46
NUDT1,4.810895505617978,1.6491760479041915,3.1617194577137866,7.267789882909762e-71,0.9945838659759133,1.0,3.240140023826003e-69
SPA17,3.2572415730337076,0.49395269461077834,2.7632888784229293,2.995891600794924e-67,0.9945502253919128,1.0,1.110071637357163e-65
SERTAD3,5.016298876404495,1.67821497005988,3.3380839063446146,2.042331176897884e-75,0.9945502253919127,1.0,1.148193883626247e-73
CCNB1,4.223028651685394,0.4947245508982036,3.72830410078719,4.643288318348567e-91,0.9945165848079124,1.0,6.618211021342516e-89
HN1,7.670076966292133,2.823752694610778,4.846324271681356,1.0051089541818483e-99,0.9944829442239116,1.0,2.5270509718852726e-97
APOL1,6.90443202247191,1.3659748502994011,5.538457172172508,1.5079137506464312e-112,0.9944493036399111,0.9940119760479041,1.2990455209796853e-109
UCP2,5.938906179775282,1.9731802395209583,3.9657259402543237,3.595287514288814e-80,0.9944156630559106,0.9940119760479041,2.5905970218272207e-78
TFPT,4.669906179775281,1.6482610778443112,3.02164510193097,2.7164150197167004e-70,0.9943988427639104,1.0,1.163233247587895e-68
PLAT,6.9784039325842695,1.5168940119760477,5.461509920608222,2.1120252814208802e-104,0.9943988427639103,0.9940119760479041,8.303661275900443e-102
UQCR11,7.375561235955056,5.202460479041916,2.17310075691314,2.1479096363564125e-36,0.9943820224719102,0.9940119760479041,1.8873060508083845e-35
NBL1,7.92584382022472,2.982519161676647,4.943324658548073,8.118798100373222e-94,0.9943820224719102,0.9880239520958084,1.4029714204069725e-91
