gene_A,gene_B,K_A,K_B,disc_sens,disc_spec,val_sens,val_spec,ext_sens,ext_spec,tumor_correlation,pair_score
RCN1,SPARC,0.8391026610009126,0.8355173953327697,0.7921348314606742,1.0,0.13043478260869565,0.9672131147540983,0.1111111111111111,0.9555555555555556,0.39032224259616755,0.3756583124984894
NT5C2,TXN,0.8527128545088938,0.8228848534305958,0.8651685393258427,0.9520958083832335,0.014492753623188406,0.9836065573770492,0.044444444444444446,1.0,0.25029496971587495,0.3756316175141221
RCN1,ANKLE2,0.8391026610009126,0.8737717772169268,0.8707865168539326,0.9880239520958084,0.0,0.9836065573770492,0.0,1.0,0.26933155447193585,0.37535100507231633
MISP,NT5C2,0.6499979430526112,0.8527128545088938,0.8651685393258427,0.9940119760479041,0.014492753623188406,1.0,0.022222222222222223,1.0,0.3188449741311502,0.3747447934253079
MISP,SPARC,0.6499979430526112,0.8355173953327697,0.797752808988764,1.0,0.0,1.0,0.022222222222222223,1.0,-0.12380835350775773,0.37411473379283045
MMP12,SPARC,0.37763499838454734,0.8355173953327697,0.7921348314606742,1.0,0.10144927536231885,0.9672131147540983,0.24444444444444444,0.9555555555555556,0.3445924236361977,0.3705491087922652
FBXL2,CLDN12,0.7510725925338305,0.798690661316936,0.8089887640449438,0.9580838323353293,0.043478260869565216,1.0,0.08888888888888889,1.0,0.23381060748841598,0.3705383532733414
MMP9,ANKLE2,0.5242941773154414,0.8737717772169268,0.8651685393258427,0.9820359281437125,0.014492753623188406,0.9836065573770492,0.022222222222222223,1.0,0.31007134619464954,0.3702606333332552
CTTN,LMNB1,0.538647950435518,0.7437815024738708,0.8539325842696629,0.9880239520958084,0.057971014492753624,0.9508196721311475,0.24444444444444444,0.9777777777777777,0.36941292750148896,0.3681270340922341
MMP9,COLGALT1,0.5242941773154414,0.8541952185168267,0.9044943820224719,0.9880239520958084,0.043478260869565216,1.0,0.044444444444444446,1.0,0.5160581961352987,0.3679364407731743
MISP,CLDN12,0.6499979430526112,0.798690661316936,0.8876404494382022,0.9940119760479041,0.028985507246376812,1.0,0.15555555555555556,1.0,0.44625853524740206,0.3676890767468741
TSPAN1,CLDN12,0.69298776371519,0.798690661316936,0.8539325842696629,0.9940119760479041,0.10144927536231885,0.9836065573770492,0.2222222222222222,1.0,0.5385814741916423,0.3646289231882226
CLDN12,TXN,0.798690661316936,0.8228848534305958,0.8876404494382022,0.9580838323353293,0.014492753623188406,0.9836065573770492,0.13333333333333333,1.0,0.3728101999527551,0.3633538026656359
LMNB1,CLDN12,0.7437815024738708,0.798690661316936,0.8764044943820225,0.9940119760479041,0.014492753623188406,0.9836065573770492,0.044444444444444446,1.0,0.3877398598184535,0.3629157552944072
LAMA3,RCN1,0.7719674149790594,0.8391026610009126,0.7359550561797753,1.0,0.028985507246376812,1.0,0.0,1.0,0.10436751306084864,0.3615967791009063
SPARC,CLDN12,0.8355173953327697,0.798690661316936,0.7303370786516854,1.0,0.028985507246376812,1.0,0.08888888888888889,1.0,0.09441376533198491,0.36077853988263414
CEACAM5,CLDN12,0.40677820318024827,0.798690661316936,0.8370786516853933,1.0,0.08695652173913043,0.9836065573770492,0.17777777777777778,1.0,0.4894467587556927,0.3603412055618425
SPARC,LMNB1,0.8355173953327697,0.7437815024738708,0.8033707865168539,1.0,0.028985507246376812,0.9836065573770492,0.08888888888888889,1.0,0.26461005195712617,0.3598448402042752
COLGALT1,NT5C2,0.8541952185168267,0.8527128545088938,0.8370786516853933,0.9640718562874252,0.014492753623188406,1.0,0.0,1.0,0.2969773184514946,0.3587413940061304
CEACAM5,NT5C2,0.40677820318024827,0.8527128545088938,0.8258426966292135,0.9940119760479041,0.07246376811594203,0.9836065573770492,0.044444444444444446,1.0,0.4423584635165859,0.35565518564055004
TSPAN1,TXN,0.69298776371519,0.8228848534305958,0.9438202247191011,0.9940119760479041,0.014492753623188406,0.9836065573770492,0.26666666666666666,1.0,0.6017776884093631,0.35343883901597173
ANKLE2,CLDN12,0.8737717772169268,0.798690661316936,0.8202247191011236,0.9580838323353293,0.014492753623188406,1.0,0.0,1.0,0.2765869617258262,0.3532943046321551
LAMA3,CST1,0.7719674149790594,0.3606846833167901,0.7528089887640449,1.0,0.08695652173913043,1.0,0.044444444444444446,1.0,0.3330010383775961,0.3532825475760685
MMP12,LAMA3,0.37763499838454734,0.7719674149790594,0.7528089887640449,1.0,0.08695652173913043,1.0,0.06666666666666667,1.0,0.33353937880876716,0.3531748794898343
FBXL2,NT5C2,0.7510725925338305,0.8527128545088938,0.797752808988764,0.9461077844311377,0.043478260869565216,1.0,0.044444444444444446,1.0,0.2918348543841765,0.3509146125123219
LAMA3,GRN,0.7719674149790594,0.8306098746530998,0.7528089887640449,1.0,0.0,1.0,0.0,1.0,0.13110571708381802,0.3501833509652588
GRN,SPARC,0.8306098746530998,0.8355173953327697,0.8033707865168539,1.0,0.0,0.9672131147540983,0.022222222222222223,1.0,0.22899294999569697,0.3493017968124281
ANKLE2,COLGALT1,0.8737717772169268,0.8541952185168267,0.848314606741573,0.9520958083832335,0.014492753623188406,1.0,0.0,1.0,0.36845095417005364,0.34738046706855247
MMP9,SPARC,0.5242941773154414,0.8355173953327697,0.8033707865168539,1.0,0.043478260869565216,0.9836065573770492,0.1111111111111111,1.0,0.38598591058814263,0.34275664875842354
SPARC,FBXL2,0.8355173953327697,0.7510725925338305,0.7415730337078652,1.0,0.057971014492753624,1.0,0.1111111111111111,1.0,0.29711566952499974,0.34034889019530945
CTTN,TXN,0.538647950435518,0.8228848534305958,0.8539325842696629,0.9461077844311377,0.028985507246376812,0.9836065573770492,0.26666666666666666,0.9777777777777777,0.4357448465495598,0.3387959566501918
LAMA3,MMP9,0.7719674149790594,0.5242941773154414,0.7471910112359551,1.0,0.014492753623188406,1.0,0.0,1.0,0.2158639168757595,0.33766909905441983
LMNB1,NT5C2,0.7437815024738708,0.8527128545088938,0.8651685393258427,1.0,0.0,0.9836065573770492,0.022222222222222223,1.0,0.46726387743729403,0.33558572147330745
SPARC,NT5C2,0.8355173953327697,0.8527128545088938,0.7303370786516854,1.0,0.028985507246376812,1.0,0.044444444444444446,1.0,0.2263185192477834,0.3343975890994744
SPARC,ANKLE2,0.8355173953327697,0.8737717772169268,0.7471910112359551,1.0,0.0,0.9836065573770492,0.0,1.0,0.19204140744922335,0.3321249658853626
CTTN,CLDN12,0.538647950435518,0.798690661316936,0.8033707865168539,0.9401197604790419,0.11594202898550725,0.9836065573770492,0.2222222222222222,1.0,0.5524506437490984,0.3316364356312486
ANKLE2,NT5C2,0.8737717772169268,0.8527128545088938,0.8146067415730337,0.9401197604790419,0.0,1.0,0.0,1.0,0.3191772543796001,0.33127320821040174
LAMA3,CEACAM5,0.7719674149790594,0.40677820318024827,0.7359550561797753,1.0,0.07246376811594203,1.0,0.044444444444444446,1.0,0.38406067705344904,0.32739727673716884
LAMA3,FBXL2,0.7719674149790594,0.7510725925338305,0.6797752808988764,1.0,0.028985507246376812,1.0,0.022222222222222223,1.0,0.14926214740072133,0.32452796459248234
LAMA3,TSPAN1,0.7719674149790594,0.69298776371519,0.7471910112359551,1.0,0.08695652173913043,1.0,0.06666666666666667,1.0,0.49868128337353146,0.3173375098128365
CTTN,NT5C2,0.538647950435518,0.8527128545088938,0.8089887640449438,0.9101796407185628,0.10144927536231885,0.9836065573770492,0.06666666666666667,1.0,0.5792585066408775,0.3151920469845002
LAMA3,NT5C2,0.7719674149790594,0.8527128545088938,0.702247191011236,1.0,0.057971014492753624,1.0,0.022222222222222223,1.0,0.33745900614718044,0.31261730152255873
SPARC,COLGALT1,0.8355173953327697,0.8541952185168267,0.7865168539325843,1.0,0.07246376811594203,1.0,0.06666666666666667,1.0,0.5896108055028424,0.3115681499236947
LAMA3,LMNB1,0.7719674149790594,0.7437815024738708,0.7528089887640449,1.0,0.014492753623188406,1.0,0.022222222222222223,1.0,0.37653369705104806,0.308344131783407
ANKLE2,FBXL2,0.8737717772169268,0.7510725925338305,0.8033707865168539,0.9461077844311377,0.0,1.0,0.022222222222222223,1.0,0.4252411370343704,0.3058133079493797
ANKLE2,CTTN,0.8737717772169268,0.538647950435518,0.8033707865168539,0.9281437125748503,0.028985507246376812,0.9836065573770492,0.022222222222222223,1.0,0.4792646241338547,0.3019614174977338
NT5C2,CLDN12,0.8527128545088938,0.798690661316936,0.8258426966292135,0.9401197604790419,0.057971014492753624,0.9836065573770492,0.044444444444444446,1.0,0.6190791818499661,0.301238087671854
LAMA3,SPARC,0.7719674149790594,0.8355173953327697,0.6292134831460674,1.0,0.014492753623188406,1.0,0.0,1.0,0.14140536146879182,0.2935720460908695
LAMA3,CTTN,0.7719674149790594,0.538647950435518,0.7247191011235955,1.0,0.10144927536231885,1.0,0.06666666666666667,1.0,0.6022082518998776,0.29264253786298167
LAMA3,COLGALT1,0.7719674149790594,0.8541952185168267,0.7247191011235955,1.0,0.014492753623188406,1.0,0.0,1.0,0.4028061708949708,0.28904469319439774
LAMA3,CLDN12,0.7719674149790594,0.798690661316936,0.7134831460674157,1.0,0.028985507246376812,1.0,0.044444444444444446,1.0,0.41775074966115855,0.28768417672466456
MISP,LAMA3,0.6499979430526112,0.7719674149790594,0.7528089887640449,1.0,0.028985507246376812,1.0,0.044444444444444446,1.0,0.5266166522241532,0.2855739175603802
